prime	prime_code	target_code	target	Qtest	Syllabe	position	Qdur	phrase	response	Code_Q	 inst; 
P0	1	101	f01	mot_port	1	2	500	2	1	111	 none1; 
P0	1	101	test01	bloque	1	2	500	2	1	211	 none; 
P0	1	101	test22	cite	1	3	500	3	1	211	 none; 
P0	1	101	f07	buches	1	2	500	2	2	121	 none; 
P2	3	103	f03	creuse	1	2	500	2	2	123	 beat1; 
P2	3	103	n12	blancs	1	3	500	0	2	123	 beat; 
P2	3	103	test10	lance	1	2	500	0	1	213	 beat; 
P2	3	103	f17	toile	1	3	500	0	1	113	 beat; 
P0	1	101	f09	sieges	1	2	500	2	1	111	 none1; 
P0	1	101	test02	trie	1	2	500	2	2	221	 none; 
P0	1	101	f20	menthes	1	3	500	3	2	121	 none; 
P0	1	101	test21	suit	1	3	500	3	2	221	 none; 
P1	2	102	test04	fonce	1	2	500	0	1	212	 tapping1; 
P1	2	102	test23	fouine	1	3	500	0	2	222	 tapping; 
P1	2	102	test06	tisse	1	2	500	0	2	222	 tapping; 
P1	2	102	test07	trempe	1	2	500	2	1	212	 tapping; 
P2	4	104	n01	leche	1	3	500	3	1	214	 both1; 
P2	4	104	f22	messes	1	3	500	0	2	124	 both; 
P2	4	104	f19	touffes	1	3	500	3	1	114	 both; 
P2	4	104	test16	scie	1	3	500	0	2	224	 both; 
P1	2	102	test05	drappe	1	2	500	0	2	222	 tapping1; 
P1	2	102	test08	rage	1	2	500	2	1	212	 tapping; 
P1	2	102	test14	vante	1	3	500	3	1	212	 tapping; 
P1	2	102	test19	brode	1	3	500	3	1	212	 tapping; 
P2	3	103	f15	bar	1	3	500	3	1	113	 beat1; 
P2	3	103	f16	crade	1	3	500	0	2	123	 beat; 
P2	3	103	f18	piece	1	3	500	0	1	113	 beat; 
P2	3	103	test18	fourre	1	3	500	0	2	223	 beat; 
P2	4	104	f10	mythes	1	2	500	0	1	114	 both1; 
P2	4	104	f12	cierges	1	2	500	0	1	114	 both; 
P2	4	104	n05	bien	1	3	500	0	2	124	 both; 
P2	4	104	f13	serge	1	3	500	3	2	124	 both; 
P0	1	101	n09	touche	1	3	500	3	1	211	 none1; 
P0	1	101	test13	stocke	1	3	500	3	2	221	 none; 
P0	1	101	f11	liens	1	2	500	0	1	111	 none; 
P0	1	101	test17	prepare	2	2	500	0	1	211	 none; 
P2	4	104	f06	faille	1	2	500	0	1	114	 both1; 
P2	4	104	f24	cordes	1	3	500	0	1	114	 both; 
P2	4	104	f08	clou	1	2	500	2	1	114	 both; 
P2	4	104	n04	magne	1	2	500	3	2	224	 both; 
P2	3	103	test09	date	1	2	500	2	2	223	 beat1; 
P2	3	103	test03	berne	1	2	500	2	1	213	 beat; 
P2	3	103	n10	tomes	1	3	500	3	2	123	 beat; 
P2	3	103	test24	vote	1	3	500	0	2	223	 beat; 
P1	2	102	f05	case	1	2	500	0	1	112	 tapping1; 
P1	2	102	f04	boule	1	2	500	0	2	122	 tapping; 
P1	2	102	n13	faute	1	3	500	0	2	222	 tapping; 
P1	2	102	f21	flashs	1	3	500	3	1	112	 tapping; 
P0	1	101	test25	fouille	1	3	500	0	1	211	 none1; 
P0	1	101	test12	arme	1	2	500	0	2	221	 none; 
P0	1	101	n03	cave	1	2	500	2	1	111	 none; 
P0	1	101	f23	dur	1	2	500	0	2	121	 none; 
P1	2	102	f02	char	1	2	500	2	2	122	 tapping1; 
P1	2	102	test15	guide	1	3	500	3	2	222	 tapping; 
P1	2	102	test11	classe	1	2	500	0	1	212	 tapping; 
P1	2	102	n06	classe	1	3	500	0	2	222	 tapping; 
P2	4	104	n11	pains	1	2	500	3	2	124	 both1; 
P2	4	104	n14	parts	1	3	500	0	2	124	 both; 
P2	4	104	f14	liste	1	3	500	3	2	124	 both; 
P2	4	104	n07	vend	1	2	500	0	1	214	 both; 
