prime	prime_code	target_code	target	Qtest	Syllabe	position	Qdur	phrase	response	Code_Q	 inst; 
P2	4	104	test06	jette	1	3	500	0	2	224	 both1; 
P2	4	104	f17	soleil	2	2	500	0	1	114	 both; 
P2	4	104	f02	milan	2	3	500	0	1	114	 both; 
P2	4	104	n09	expose	2	2	500	0	1	214	 both; 
P0	1	101	test15	fait	1	2	500	0	1	211	 none1; 
P0	1	101	test07	fout	1	3	500	3	2	221	 none; 
P0	1	101	f16	scie	1	2	500	2	2	121	 none; 
P0	1	101	f15	emploi	2	2	500	0	1	111	 none; 
P1	2	102	test24	trompe	2	2	500	3	1	212	 tapping1; 
P1	2	102	n01	rape	1	2	500	2	2	222	 tapping; 
P1	2	102	test12	vend	1	3	500	0	2	222	 tapping; 
P1	2	102	test03	narre	1	3	500	0	2	222	 tapping; 
P2	3	103	test04	mene	1	3	500	2	1	213	 beat1; 
P2	3	103	f12	joie	1	3	500	2	2	123	 beat; 
P2	3	103	test21	invente	2	2	500	0	1	213	 beat; 
P2	3	103	test14	boite	1	2	500	0	1	213	 beat; 
P0	1	101	f08	flou	1	2	500	3	2	121	 none1; 
P0	1	101	f05	mythe	1	3	500	0	2	121	 none; 
P0	1	101	n05	appel	2	2	500	0	1	111	 none; 
P0	1	101	f13	rollers	1	2	500	0	1	111	 none; 
P2	3	103	f06	bien	1	3	500	3	1	113	 beat1; 
P2	3	103	n03	vin	1	3	500	0	1	113	 beat; 
P2	3	103	f22	grenier	2	2	500	0	1	113	 beat; 
P2	3	103	test11	veut	1	3	500	2	1	213	 beat; 
P2	4	104	test05	tient	1	3	500	3	2	224	 both1; 
P2	4	104	n12	chantier	2	2	500	1	1	114	 both; 
P2	4	104	n10	pere	1	2	500	3	2	124	 both; 
P2	4	104	test25	trouve	1	2	500	0	1	214	 both; 
P0	1	101	f18	comptoir	2	2	500	2	2	121	 none1; 
P0	1	101	test10	loue	1	3	500	3	2	221	 none; 
P0	1	101	test19	code	1	3	500	0	2	221	 none; 
P0	1	101	test18	plante	1	2	500	0	1	211	 none; 
P1	2	102	f11	rage	1	3	500	0	2	122	 tapping1; 
P1	2	102	n07	donne	1	3	500	0	1	212	 tapping; 
P1	2	102	test09	offre	1	3	500	0	1	212	 tapping; 
P1	2	102	test22	endort	2	2	500	3	2	222	 tapping; 
P2	3	103	f14	idole	2	2	500	2	1	113	 beat1; 
P2	3	103	test17	voit	1	3	500	0	2	223	 beat; 
P2	3	103	n14	gateau	2	2	500	0	2	123	 beat; 
P2	3	103	f01	lest	1	3	500	2	2	123	 beat; 
P2	4	104	n06	soutient	2	2	500	2	1	214	 both1; 
P2	4	104	f23	crasses	1	3	500	3	2	124	 both; 
P2	4	104	test02	veut	1	3	500	0	1	214	 both; 
P2	4	104	test08	blame	1	3	500	4	1	214	 both; 
P0	1	101	f10	gens	1	3	500	3	2	121	 none1; 
P0	1	101	f04	charmes	1	3	500	4	2	121	 none; 
P0	1	101	n11	pachas	2	3	500	0	2	121	 none; 
P0	1	101	test16	fait	1	2	500	3	2	221	 none; 
P2	3	103	test13	boit	1	2	500	4	2	223	 beat1; 
P2	3	103	f21	thriller	2	2	500	1	1	113	 beat; 
P2	3	103	n13	tente	1	2	500	0	1	213	 beat; 
P2	3	103	f09	brie	1	3	500	2	2	123	 beat; 
P2	4	104	f07	anses	1	3	500	0	1	114	 both1; 
P2	4	104	test23	enerve	2	2	500	2	1	214	 both; 
P2	4	104	f03	ronde	1	3	500	4	2	124	 both; 
P2	4	104	f20	voisins	2	2	500	0	1	114	 both; 
P1	2	102	test01	est	1	3	500	3	2	222	 tapping1; 
P1	2	102	n04	cache	1	3	500	0	1	212	 tapping; 
P1	2	102	f19	neveux	2	2	500	2	2	122	 tapping; 
P1	2	102	f24	caille	1	2	500	0	2	122	 tapping; 
