prime	prime_code	target_code	target	Qtest	Syllabe	position	Qdur	phrase	response	Code_Q	 inst; 
P2	3	103	n05	chien	1	3	500	0	1	113	 beat1; 
P2	3	103	f05	rite	1	3	500	3	1	113	 beat; 
P2	3	103	n01	peche	1	3	500	3	2	223	 beat; 
P2	3	103	test15	sait	1	2	500	3	2	223	 beat; 
P1	2	102	f08	gloire	2	3	500	3	2	122	 tapping1; 
P1	2	102	f01	sort	1	2	500	0	2	122	 tapping; 
P1	2	102	n03	bain	1	3	500	2	2	122	 tapping; 
P1	2	102	test18	bourre	1	3	500	3	1	212	 tapping; 
P2	4	104	test13	choque	1	3	500	0	1	214	 both1; 
P2	4	104	test04	ponce	1	2	500	1	2	224	 both; 
P2	4	104	f15	car	1	3	500	0	2	124	 both; 
P2	4	104	f21	clashs	1	3	500	2	2	124	 both; 
P0	1	101	n07	rend	1	2	500	0	2	221	 none1; 
P0	1	101	n04	gagne	1	2	500	0	1	211	 none; 
P0	1	101	f03	queue	1	2	500	2	1	111	 none; 
P0	1	101	test05	frappe	1	2	500	3	1	211	 none; 
P2	3	103	test16	lie	1	3	500	0	1	213	 beat1; 
P2	3	103	f11	cage	1	3	500	2	1	113	 beat; 
P2	3	103	test07	campe	1	2	500	2	2	223	 beat; 
P2	3	103	f23	mur	1	2	500	3	1	113	 beat; 
P0	1	101	test23	innerve	2	2	500	0	2	221	 none1; 
P0	1	101	f24	lords	1	3	500	0	2	121	 none; 
P0	1	101	n06	place	1	3	500	2	1	211	 none; 
P0	1	101	test24	dompte	1	2	500	3	2	221	 none; 
P1	2	102	test02	crie	1	2	500	4	1	212	 tapping1; 
P1	2	102	f14	envol	2	2	500	0	2	122	 tapping; 
P1	2	102	f17	voile	1	3	500	0	2	122	 tapping; 
P1	2	102	test17	separe	2	2	500	0	2	222	 tapping; 
P2	3	103	f10	gites	1	2	500	2	2	123	 beat1; 
P2	3	103	test01	cloque	1	2	500	0	2	223	 beat; 
P2	3	103	test12	charme	1	2	500	3	1	213	 beat; 
P2	3	103	test08	nage	1	2	500	4	2	223	 beat; 
P2	4	104	f09	prix	1	3	500	0	1	114	 both1; 
P2	4	104	test03	part	1	3	500	2	1	214	 both; 
P2	4	104	f04	larmes	1	3	500	4	1	114	 both; 
P2	4	104	f18	boudoir	2	2	500	2	1	114	 both; 
P0	1	101	f19	poufs	1	3	500	0	2	121	 none1; 
P0	1	101	test09	gate	1	2	500	0	1	211	 none; 
P0	1	101	f02	melan	2	3	500	0	2	121	 none; 
P0	1	101	n13	chante	1	2	500	2	2	221	 none; 
P1	2	102	f16	stade	1	3	500	3	1	112	 tapping1; 
P1	2	102	n14	barres	1	3	500	0	1	112	 tapping; 
P1	2	102	f07	cruches	1	2	500	3	1	112	 tapping; 
P1	2	102	n11	vins	1	2	500	4	1	112	 tapping; 
P2	4	104	test10	pense	1	2	500	0	2	224	 both1; 
P2	4	104	test14	tente	1	3	500	3	2	224	 both; 
P2	4	104	test21	evente	2	2	500	0	2	224	 both; 
P2	4	104	test11	peut	1	3	500	0	2	224	 both; 
P1	2	102	f22	caisses	1	3	500	0	1	112	 tapping1; 
P1	2	102	n12	plans	1	3	500	0	1	112	 tapping; 
P1	2	102	test25	mouille	1	3	500	0	2	222	 tapping; 
P1	2	102	f20	plantes	1	3	500	0	1	112	 tapping; 
P0	1	101	f12	voix	1	3	500	2	1	111	 none1; 
P0	1	101	test06	hisse	1	2	500	0	1	211	 none; 
P0	1	101	f06	paille	1	2	500	1	2	121	 none; 
P0	1	101	n10	pommes	1	3	500	0	1	111	 none; 
P2	3	103	f13	colleurs	1	2	500	0	2	123	 beat1; 
P2	3	103	test22	adore	2	2	500	0	1	213	 beat; 
P2	3	103	n09	couche	1	3	500	0	2	223	 beat; 
P2	3	103	test19	fait	1	2	500	2	1	213	 beat; 
